Order_ID,Order_Date,SKU,Supplier_ID,Warehouse_ID,Units_Sold,Unit_Price,Unit_Cost,Delivery_Date
ORD00001,7/27/2024,SKU075,SUP13,WH4,16,177.59,104.86,8/6/2024
ORD00002,11/5/2024,SKU077,SUP15,WH2,43,166.94,130.81,11/7/2024
ORD00003,5/3/2024,SKU067,SUP07,WH3,36,34.98,22.61,5/6/2024
ORD00004,9/28/2024,SKU071,SUP10,WH1,6,17.77,12.95,10/13/2024
ORD00005,1/18/2024,SKU074,SUP12,WH3,5,10.06,8.23,1/24/2024
ORD00006,2/18/2024,SKU020,SUP14,WH2,31,50.26,41.38,3/2/2024
ORD00007,6/3/2024,SKU026,SUP10,WH3,42,37.63,26.46,6/6/2024
ORD00008,8/14/2024,SKU113,SUP14,WH4,29,158.32,112,8/23/2024
ORD00009,6/15/2024,SKU016,SUP15,WH1,3,243.14,162.58,6/19/2024
ORD00010,1/6/2024,SKU036,SUP03,WH4,16,98.46,70.83,1/18/2024
ORD00011,5/4/2024,SKU020,SUP01,WH3,39,50.26,41.38,5/11/2024
ORD00012,5/7/2024,SKU116,SUP08,WH2,1,61.87,48.73,5/17/2024
ORD00013,11/21/2024,SKU057,SUP06,WH1,41,297.14,197.2,11/28/2024
ORD00014,7/2/2024,SKU001,SUP14,WH4,23,15.83,9.96,7/12/2024
ORD00015,4/13/2024,SKU083,SUP11,WH3,36,88.03,71.51,4/16/2024
ORD00016,11/12/2024,SKU063,SUP09,WH4,5,133.03,76.72,11/23/2024
ORD00017,12/9/2024,SKU072,SUP05,WH4,28,186.88,120.22,12/13/2024
ORD00018,5/4/2024,SKU101,SUP06,WH1,32,230.28,177.98,5/10/2024
ORD00019,1/8/2024,SKU003,SUP11,WH1,16,17.75,11.13,1/16/2024
ORD00020,2/8/2024,SKU071,SUP08,WH3,10,17.77,12.95,2/14/2024
ORD00021,4/14/2024,SKU014,SUP15,WH1,41,54.72,36.44,4/20/2024
ORD00022,5/11/2024,SKU030,SUP13,WH1,43,307.65,172.84,5/19/2024
ORD00023,1/2/2024,SKU100,SUP06,WH3,46,234.64,179.94,1/7/2024
